Date,Village_ID,Village_Name,District,SMAP_Soil_Moisture_m3_m3,Surface_Temp_C,Latitude,Longitude,SRTM_Mean_Elevation_m,SRTM_Calculated_Slope_deg,GSI_Landslide_Susceptibility,District_Rainfall_Sep2026_mm
2026-08-01,UK01,Kedarnath_Valley,Rudraprayag,0.342,19.8,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-02,UK01,Kedarnath_Valley,Rudraprayag,0.32,19.6,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-03,UK01,Kedarnath_Valley,Rudraprayag,0.324,21.3,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-04,UK01,Kedarnath_Valley,Rudraprayag,0.351,18.5,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-05,UK01,Kedarnath_Valley,Rudraprayag,0.312,18.9,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-06,UK01,Kedarnath_Valley,Rudraprayag,0.367,15.2,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-07,UK01,Kedarnath_Valley,Rudraprayag,0.396,18.4,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-08,UK01,Kedarnath_Valley,Rudraprayag,0.342,17.0,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-09,UK01,Kedarnath_Valley,Rudraprayag,0.326,19.5,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-10,UK01,Kedarnath_Valley,Rudraprayag,0.327,16.8,30.73,79.06,3584,38,Very High Risk,133.7
2026-08-01,UK02,Joshimath_Town,Chamoli,0.409,17.5,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-02,UK02,Joshimath_Town,Chamoli,0.449,15.2,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-03,UK02,Joshimath_Town,Chamoli,0.351,15.3,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-04,UK02,Joshimath_Town,Chamoli,0.435,19.6,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-05,UK02,Joshimath_Town,Chamoli,0.402,19.5,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-06,UK02,Joshimath_Town,Chamoli,0.36,15.4,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-07,UK02,Joshimath_Town,Chamoli,0.399,20.4,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-08,UK02,Joshimath_Town,Chamoli,0.444,14.6,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-09,UK02,Joshimath_Town,Chamoli,0.385,19.1,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-10,UK02,Joshimath_Town,Chamoli,0.367,18.1,30.55,79.56,1875,29,Very High Risk,121.5
2026-08-01,UK03,Bhatwari_Cluster,Uttarkashi,0.411,20.7,30.82,78.62,1520,26,High Risk,71.4
2026-08-02,UK03,Bhatwari_Cluster,Uttarkashi,0.369,17.9,30.82,78.62,1520,26,High Risk,71.4
2026-08-03,UK03,Bhatwari_Cluster,Uttarkashi,0.405,17.0,30.82,78.62,1520,26,High Risk,71.4
2026-08-04,UK03,Bhatwari_Cluster,Uttarkashi,0.458,15.7,30.82,78.62,1520,26,High Risk,71.4
2026-08-05,UK03,Bhatwari_Cluster,Uttarkashi,0.443,19.3,30.82,78.62,1520,26,High Risk,71.4
2026-08-06,UK03,Bhatwari_Cluster,Uttarkashi,0.428,21.7,30.82,78.62,1520,26,High Risk,71.4
2026-08-07,UK03,Bhatwari_Cluster,Uttarkashi,0.405,21.9,30.82,78.62,1520,26,High Risk,71.4
2026-08-08,UK03,Bhatwari_Cluster,Uttarkashi,0.398,18.1,30.82,78.62,1520,26,High Risk,71.4
2026-08-09,UK03,Bhatwari_Cluster,Uttarkashi,0.421,14.7,30.82,78.62,1520,26,High Risk,71.4
2026-08-10,UK03,Bhatwari_Cluster,Uttarkashi,0.433,15.4,30.82,78.62,1520,26,High Risk,71.4
2026-08-01,UK04,Dharchula_Ward,Pithoragarh,0.406,18.8,29.85,80.53,915,31,High Risk,159.9
2026-08-02,UK04,Dharchula_Ward,Pithoragarh,0.426,15.2,29.85,80.53,915,31,High Risk,159.9
2026-08-03,UK04,Dharchula_Ward,Pithoragarh,0.428,21.4,29.85,80.53,915,31,High Risk,159.9
2026-08-04,UK04,Dharchula_Ward,Pithoragarh,0.392,14.6,29.85,80.53,915,31,High Risk,159.9
2026-08-05,UK04,Dharchula_Ward,Pithoragarh,0.416,20.8,29.85,80.53,915,31,High Risk,159.9
2026-08-06,UK04,Dharchula_Ward,Pithoragarh,0.433,17.2,29.85,80.53,915,31,High Risk,159.9
2026-08-07,UK04,Dharchula_Ward,Pithoragarh,0.414,16.0,29.85,80.53,915,31,High Risk,159.9
2026-08-08,UK04,Dharchula_Ward,Pithoragarh,0.436,17.3,29.85,80.53,915,31,High Risk,159.9
2026-08-09,UK04,Dharchula_Ward,Pithoragarh,0.399,20.1,29.85,80.53,915,31,High Risk,159.9
2026-08-10,UK04,Dharchula_Ward,Pithoragarh,0.398,19.2,29.85,80.53,915,31,High Risk,159.9
2026-08-01,UK05,Munsyari_Village,Pithoragarh,0.38,15.6,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-02,UK05,Munsyari_Village,Pithoragarh,0.375,21.6,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-03,UK05,Munsyari_Village,Pithoragarh,0.336,16.1,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-04,UK05,Munsyari_Village,Pithoragarh,0.306,15.2,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-05,UK05,Munsyari_Village,Pithoragarh,0.34,18.0,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-06,UK05,Munsyari_Village,Pithoragarh,0.367,16.8,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-07,UK05,Munsyari_Village,Pithoragarh,0.352,20.4,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-08,UK05,Munsyari_Village,Pithoragarh,0.352,16.5,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-09,UK05,Munsyari_Village,Pithoragarh,0.366,18.6,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-10,UK05,Munsyari_Village,Pithoragarh,0.343,17.4,30.07,80.24,2200,27,Moderate Risk,159.9
2026-08-01,UK06,Gaurikund_Area,Rudraprayag,0.355,19.6,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-02,UK06,Gaurikund_Area,Rudraprayag,0.31,14.3,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-03,UK06,Gaurikund_Area,Rudraprayag,0.35,18.7,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-04,UK06,Gaurikund_Area,Rudraprayag,0.375,19.5,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-05,UK06,Gaurikund_Area,Rudraprayag,0.359,19.9,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-06,UK06,Gaurikund_Area,Rudraprayag,0.315,15.0,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-07,UK06,Gaurikund_Area,Rudraprayag,0.317,15.2,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-08,UK06,Gaurikund_Area,Rudraprayag,0.358,21.0,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-09,UK06,Gaurikund_Area,Rudraprayag,0.384,16.8,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-10,UK06,Gaurikund_Area,Rudraprayag,0.332,16.8,30.65,79.03,1980,34,Very High Risk,133.7
2026-08-01,UK07,Govindghat_Zone,Chamoli,0.266,18.9,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-02,UK07,Govindghat_Zone,Chamoli,0.267,16.9,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-03,UK07,Govindghat_Zone,Chamoli,0.221,19.6,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-04,UK07,Govindghat_Zone,Chamoli,0.268,16.3,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-05,UK07,Govindghat_Zone,Chamoli,0.254,15.1,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-06,UK07,Govindghat_Zone,Chamoli,0.3,19.1,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-07,UK07,Govindghat_Zone,Chamoli,0.284,19.6,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-08,UK07,Govindghat_Zone,Chamoli,0.262,15.9,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-09,UK07,Govindghat_Zone,Chamoli,0.287,14.4,30.62,79.56,1820,25,Moderate Risk,121.5
2026-08-10,UK07,Govindghat_Zone,Chamoli,0.28,15.0,30.62,79.56,1820,25,Moderate Risk,121.5
